id,arxivId,submitter,authors,title,comments,journalRef,doi,reportNo,categories,license,abstract,versions,updateDate,authorsParsed
1,704.2201,Hassan Satori,"H. Satori, M. Harti and N. Chenfour",Arabic Speech Recognition System using CMU-Sphinx4,"5 pages, 3 figures and 2 tables, in French",,,,cs.CL cs.AI,,"  In this paper we present the creation of an Arabic version of Automated
Speech Recognition System (ASR). This system is based on the open source
Sphinx-4, from the Carnegie Mellon University. Which is a speech recognition
system based on discrete hidden Markov models (HMMs). We investigate the
changes that must be made to the model to adapt Arabic voice recognition.
  Keywords: Speech recognition, Acoustic model, Arabic language, HMMs,
CMUSphinx-4, Artificial intelligence.
","[{'version': 'v1', 'created': 'Tue, 17 Apr 2007 17:04:26 GMT'}]",2007-05-23,"[['Satori', 'H.', ''], ['Harti', 'M.', ''], ['Chenfour', 'N.', '']]"
2,704.3662,Tian-Jian Jiang,"Mike Tian-Jian Jiang, James Zhan, Jaimie Lin, Jerry Lin, Wen-Lien Hsu",An Automated Evaluation Metric for Chinese Text Entry,8 pages,"Jiang, Mike Tian-Jian, et al. ""Robustness analysis of adaptive
  chinese input methods."" Advances in Text Input Methods (WTIM 2011) (2011): 53",,,cs.HC cs.CL,,"  In this paper, we propose an automated evaluation metric for text entry. We
also consider possible improvements to existing text entry evaluation metrics,
such as the minimum string distance error rate, keystrokes per character, cost
per correction, and a unified approach proposed by MacKenzie, so they can
accommodate the special characteristics of Chinese text. Current methods lack
an integrated concern about both typing speed and accuracy for Chinese text
entry evaluation. Our goal is to remove the bias that arises due to human
factors. First, we propose a new metric, called the correction penalty (P),
based on Fitts' law and Hick's law. Next, we transform it into the approximate
amortized cost (AAC) of information theory. An analysis of the AAC of Chinese
text input methods with different context lengths is also presented.
","[{'version': 'v1', 'created': 'Fri, 27 Apr 2007 05:34:10 GMT'}]",2013-10-29,"[['Jiang', 'Mike Tian-Jian', ''], ['Zhan', 'James', ''], ['Lin', 'Jaimie', ''], ['Lin', 'Jerry', ''], ['Hsu', 'Wen-Lien', '']]"
3,704.3665,Tian-Jian Jiang,"Mike Tian-Jian Jiang, Deng Liu, Meng-Juei Hsieh, Wen-Lien Hsu",On the Development of Text Input Method - Lessons Learned,10 pages,,,,cs.CL cs.HC,,"  Intelligent Input Methods (IM) are essential for making text entries in many
East Asian scripts, but their application to other languages has not been fully
explored. This paper discusses how such tools can contribute to the development
of computer processing of other oriental languages. We propose a design
philosophy that regards IM as a text service platform, and treats the study of
IM as a cross disciplinary subject from the perspectives of software
engineering, human-computer interaction (HCI), and natural language processing
(NLP). We discuss these three perspectives and indicate a number of possible
future research directions.
","[{'version': 'v1', 'created': 'Fri, 27 Apr 2007 05:58:32 GMT'}]",2007-05-23,"[['Jiang', 'Mike Tian-Jian', ''], ['Liu', 'Deng', ''], ['Hsieh', 'Meng-Juei', ''], ['Hsu', 'Wen-Lien', '']]"
4,704.3708,Bernat Corominas-Murtra BCM,Bernat Corominas-Murtra,Network statistics on early English Syntax: Structural criteria,"New abstract. Due to a mistake, abstract from V1 was from an old,
  draft version of the work. The content of the paper is exactly the same,
  except on section ""measures"" where a new cite has been added. 28 pag",,,,cs.CL,,"  This paper includes a reflection on the role of networks in the study of
English language acquisition, as well as a collection of practical criteria to
annotate free-speech corpora from children utterances. At the theoretical
level, the main claim of this paper is that syntactic networks should be
interpreted as the outcome of the use of the syntactic machinery. Thus, the
intrinsic features of such machinery are not accessible directly from (known)
network properties. Rather, what one can see are the global patterns of its use
and, thus, a global view of the power and organization of the underlying
grammar. Taking a look into more practical issues, the paper examines how to
build a net from the projection of syntactic relations. Recall that, as opposed
to adult grammars, early-child language has not a well-defined concept of
structure. To overcome such difficulty, we develop a set of systematic criteria
assuming constituency hierarchy and a grammar based on lexico-thematic
relations. At the end, what we obtain is a well defined corpora annotation that
enables us i) to perform statistics on the size of structures and ii) to build
a network from syntactic relations over which we can perform the standard
measures of complexity. We also provide a detailed example.
","[{'version': 'v1', 'created': 'Fri, 27 Apr 2007 17:13:37 GMT'}, {'version': 'v2', 'created': 'Mon, 30 Apr 2007 10:06:50 GMT'}]",2007-05-23,"[['Corominas-Murtra', 'Bernat', '']]"
5,704.3886,W Saba,Walid S. Saba,A Note on Ontology and Ordinary Language,"19 pages, 1 figure",,,,cs.AI cs.CL,,"  We argue for a compositional semantics grounded in a strongly typed ontology
that reflects our commonsense view of the world and the way we talk about it.
Assuming such a structure we show that the semantics of various natural
language phenomena may become nearly trivial.
","[{'version': 'v1', 'created': 'Mon, 30 Apr 2007 17:55:39 GMT'}, {'version': 'v2', 'created': 'Tue, 1 May 2007 13:43:32 GMT'}, {'version': 'v3', 'created': 'Wed, 2 May 2007 18:13:22 GMT'}, {'version': 'v4', 'created': 'Thu, 3 May 2007 08:34:47 GMT'}, {'version': 'v5', 'created': 'Fri, 4 May 2007 17:49:03 GMT'}, {'version': 'v6', 'created': 'Mon, 7 May 2007 16:04:50 GMT'}]",2007-05-23,"[['Saba', 'Walid S.', '']]"
6,705.0462,Nicolas Tabareau,"Paul-Andr\'e Melli\`es (PPS), Nicolas Tabareau (PPS)",Resource modalities in game semantics,,,,,math.CT cs.CL,,"  The description of resources in game semantics has never achieved the
simplicity and precision of linear logic, because of a misleading conception:
the belief that linear logic is more primitive than game semantics. We advocate
instead the contrary: that game semantics is conceptually more primitive than
linear logic. Starting from this revised point of view, we design a categorical
model of resources in game semantics, and construct an arena game model where
the usual notion of bracketing is extended to multi- bracketing in order to
capture various resource policies: linear, af&#64257;ne and exponential.
","[{'version': 'v1', 'created': 'Thu, 3 May 2007 13:44:54 GMT'}]",2007-05-23,"[['Melliès', 'Paul-André', '', 'PPS'], ['Tabareau', 'Nicolas', '', 'PPS']]"
7,705.1161,Lillian Lee,Lillian Lee,"IDF revisited: A simple new derivation within the Robertson-Sp\""arck
  Jones probabilistic model","To appear, Proceedings of SIGIR 2007, poster paper (2 pages)",,,,cs.IR cs.CL,,"  There have been a number of prior attempts to theoretically justify the
effectiveness of the inverse document frequency (IDF). Those that take as their
starting point Robertson and Sparck Jones's probabilistic model are based on
strong or complex assumptions. We show that a more intuitively plausible
assumption suffices. Moreover, the new assumption, while conceptually very
simple, provides a solution to an estimation problem that had been deemed
intractable by Robertson and Walker (1997).
","[{'version': 'v1', 'created': 'Tue, 8 May 2007 20:08:13 GMT'}]",2007-05-23,"[['Lee', 'Lillian', '']]"
8,705.4676,Daniel Lemire,Daniel Lemire and Owen Kaser,"Recursive n-gram hashing is pairwise independent, at best",See software at https://github.com/lemire/rollinghashcpp,Computer Speech & Language 24(4): 698-710 (2010),10.1016/j.csl.2009.12.001,,cs.DB cs.CL,http://creativecommons.org/licenses/by/4.0/,"  Many applications use sequences of n consecutive symbols (n-grams). Hashing
these n-grams can be a performance bottleneck. For more speed, recursive hash
families compute hash values by updating previous values. We prove that
recursive hash families cannot be more than pairwise independent. While hashing
by irreducible polynomials is pairwise independent, our implementations either
run in time O(n) or use an exponential amount of memory. As a more scalable
alternative, we make hashing by cyclic polynomials pairwise independent by
ignoring n-1 bits. Experimentally, we show that hashing by cyclic polynomials
is is twice as fast as hashing by irreducible polynomials. We also show that
randomized Karp-Rabin hash families are not pairwise independent.
","[{'version': 'v1', 'created': 'Thu, 31 May 2007 18:41:28 GMT'}, {'version': 'v2', 'created': 'Mon, 8 Dec 2008 17:39:33 GMT'}, {'version': 'v3', 'created': 'Fri, 6 Feb 2009 21:37:14 GMT'}, {'version': 'v4', 'created': 'Mon, 23 Feb 2009 16:23:41 GMT'}, {'version': 'v5', 'created': 'Wed, 5 Aug 2009 03:01:20 GMT'}, {'version': 'v6', 'created': 'Wed, 19 Aug 2009 14:39:54 GMT'}, {'version': 'v7', 'created': 'Wed, 4 Jan 2012 20:37:05 GMT'}, {'version': 'v8', 'created': 'Mon, 6 Jun 2016 15:18:03 GMT'}]",2016-06-07,"[['Lemire', 'Daniel', ''], ['Kaser', 'Owen', '']]"
9,707.0895,Damian H. Zanette,Damian H. Zanette,Segmentation and Context of Literary and Musical Sequences,To appear in Complex Systems,,,,cs.CL physics.data-an,,"  We test a segmentation algorithm, based on the calculation of the
Jensen-Shannon divergence between probability distributions, to two symbolic
sequences of literary and musical origin. The first sequence represents the
successive appearance of characters in a theatrical play, and the second
represents the succession of tones from the twelve-tone scale in a keyboard
sonata. The algorithm divides the sequences into segments of maximal
compositional divergence between them. For the play, these segments are related
to changes in the frequency of appearance of different characters and in the
geographical setting of the action. For the sonata, the segments correspond to
tonal domains and reveal in detail the characteristic tonal progression of such
kind of musical composition.
","[{'version': 'v1', 'created': 'Fri, 6 Jul 2007 01:45:05 GMT'}]",2007-07-09,"[['Zanette', 'Damian H.', '']]"
10,707.1913,Daniel Lemire,"Owen Kaser, Daniel Lemire","Removing Manually-Generated Boilerplate from Electronic Texts:
  Experiments with Project Gutenberg e-Books","short version appeared in CASCON 2007 proceedings, available from
  http://portal.acm.org/citation.cfm?id=1321246 Source code at
  https://github.com/lemire/gutenberg-headers",,,"Department of CSAS, UNBSJ Technical Report TR-07-001",cs.DL cs.CL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Collaborative work on unstructured or semi-structured documents, such as in
literature corpora or source code, often involves agreed upon templates
containing metadata. These templates are not consistent across users and over
time. Rule-based parsing of these templates is expensive to maintain and tends
to fail as new documents are added. Statistical techniques based on frequent
occurrences have the potential to identify automatically a large fraction of
the templates, thus reducing the burden on the programmers. We investigate the
case of the Project Gutenberg corpus, where most documents are in ASCII format
with preambles and epilogues that are often copied and pasted or manually
typed. We show that a statistical approach can solve most cases though some
documents require knowledge of English. We also survey various technical
solutions that make our approach applicable to large data sets.
","[{'version': 'v1', 'created': 'Fri, 13 Jul 2007 02:30:10 GMT'}, {'version': 'v2', 'created': 'Fri, 21 Aug 2009 19:57:15 GMT'}, {'version': 'v3', 'created': 'Mon, 22 Aug 2016 21:02:58 GMT'}]",2016-08-24,"[['Kaser', 'Owen', ''], ['Lemire', 'Daniel', '']]"
